"data_points","label_judgments","checkbox_judgments"
"data_point1","radio_option2
radio_option3
radio_option2","checkbox2|checkbox3
checkbox5|checkbox3|checkbox1|checkbox2|checkbox4
checkbox4|checkbox5|checkbox1"
"data_point2","radio_option1
radio_option2
radio_option3","checkbox1|checkbox5|checkbox2
checkbox1|checkbox4|checkbox5
checkbox3|checkbox2|checkbox4|checkbox1|checkbox5"
"data_point3","radio_option2
radio_option2
radio_option2","checkbox4|checkbox2|checkbox1|checkbox3|checkbox5
checkbox4|checkbox5|checkbox2|checkbox3
checkbox4|checkbox2|checkbox1"
"data_point4","radio_option1
radio_option2
radio_option3","checkbox3|checkbox5|checkbox2
checkbox2
checkbox2|checkbox5|checkbox1|checkbox4"
"data_point5","radio_option2
radio_option2
radio_option3","checkbox5|checkbox3|checkbox2|checkbox4
checkbox4|checkbox3|checkbox2
checkbox4|checkbox1|checkbox2"
"data_point6","radio_option2
radio_option3
radio_option3","checkbox4
checkbox3|checkbox2|checkbox4|checkbox5
checkbox3|checkbox1"
"data_point7","radio_option1
radio_option1
radio_option1","checkbox1|checkbox4|checkbox5|checkbox2
checkbox3|checkbox5|checkbox1
checkbox3|checkbox5"
"data_point8","radio_option3
radio_option3
radio_option3","checkbox3|checkbox5
checkbox5|checkbox1
checkbox5|checkbox2|checkbox3|checkbox1|checkbox4"
"data_point9","radio_option1
radio_option2
radio_option2","checkbox5
checkbox3
checkbox4"
"data_point10","radio_option2
radio_option3
radio_option3","checkbox3|checkbox5|checkbox4|checkbox2
checkbox2
checkbox1|checkbox2"
