"data_points","annotator_id","checkbox_judgments","label_judgments"
"data_point1","annotator1","checkbox2|checkbox3","radio_option2"
"data_point1","annotator2","checkbox5|checkbox3|checkbox1|checkbox2|checkbox4","radio_option3"
"data_point1","annotator3","checkbox4|checkbox5|checkbox1","radio_option2"
"data_point10","annotator1","checkbox3|checkbox5|checkbox4|checkbox2","radio_option2"
"data_point10","annotator2","checkbox2","radio_option3"
"data_point10","annotator3","checkbox1|checkbox2","radio_option3"
"data_point2","annotator1","checkbox1|checkbox5|checkbox2","radio_option1"
"data_point2","annotator2","checkbox1|checkbox4|checkbox5","radio_option2"
"data_point2","annotator3","checkbox3|checkbox2|checkbox4|checkbox1|checkbox5","radio_option3"
"data_point3","annotator1","checkbox4|checkbox2|checkbox1|checkbox3|checkbox5","radio_option2"
"data_point3","annotator2","checkbox4|checkbox5|checkbox2|checkbox3","radio_option2"
"data_point3","annotator3","checkbox4|checkbox2|checkbox1","radio_option2"
"data_point4","annotator1","checkbox3|checkbox5|checkbox2","radio_option1"
"data_point4","annotator2","checkbox2","radio_option2"
"data_point4","annotator3","checkbox2|checkbox5|checkbox1|checkbox4","radio_option3"
"data_point5","annotator1","checkbox5|checkbox3|checkbox2|checkbox4","radio_option2"
"data_point5","annotator2","checkbox4|checkbox3|checkbox2","radio_option2"
"data_point5","annotator3","checkbox4|checkbox1|checkbox2","radio_option3"
"data_point6","annotator1","checkbox4","radio_option2"
"data_point6","annotator2","checkbox3|checkbox2|checkbox4|checkbox5","radio_option3"
"data_point6","annotator3","checkbox3|checkbox1","radio_option3"
"data_point7","annotator1","checkbox1|checkbox4|checkbox5|checkbox2","radio_option1"
"data_point7","annotator2","checkbox3|checkbox5|checkbox1","radio_option1"
"data_point7","annotator3","checkbox3|checkbox5","radio_option1"
"data_point8","annotator1","checkbox3|checkbox5","radio_option3"
"data_point8","annotator2","checkbox5|checkbox1","radio_option3"
"data_point8","annotator3","checkbox5|checkbox2|checkbox3|checkbox1|checkbox4","radio_option3"
"data_point9","annotator1","checkbox5","radio_option1"
"data_point9","annotator2","checkbox3","radio_option2"
"data_point9","annotator3","checkbox4","radio_option2"
